effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high,threshold,n_obs,n_publishers,converged,R2_marginal,predictor_sd,raw_estimate
fixed,cond,Politics,0.07997642931716632,0.05845401476392584,1.3681939493833155,0.1712513750453739,-0.034591334371900886,0.19454419300623355,2,4213,879,TRUE,0.7605740619531953,0.3056153363418708,0.26168984277576374
fixed,cond,Corruption,0.0386253052331589,0.05486039602917895,0.7040653737281629,0.48139206261797407,-0.068899095161636,0.14614970562795382,2,4213,879,TRUE,0.7605740619531953,0.24203563608521092,0.15958519934461426
fixed,cond,(Intercept),1.504450483202644,0.04125104489154611,36.470603039462944,3.243881884497381e-291,1.4235999208905685,1.5853010455147194,5,3412,418,TRUE,0.7757917736331282,NA,NA
fixed,cond,content_leaning,0.14026899770785745,0.0407742725368583,3.440134893419862,5.814243211170143e-4,0.060352892039794576,0.22018510337592032,5,3412,418,TRUE,0.7757917736331282,0.41968680878796183,0.3342230319626879
fixed,cond,content_extremity,0.039118437055697015,0.03755308706008024,1.0416836568751968,0.29755836856537565,-0.03448426109035737,0.1127211352017514,5,3412,418,TRUE,0.7757917736331282,0.23275800034568594,0.16806484416260392
fixed,cond,publisher_leaning,0.1318069095893366,0.03536564759311271,3.7269757111702195,1.9379112561196429e-4,0.06249151401690006,0.20112230516177315,5,3412,418,TRUE,0.7757917736331282,0.5388724590627684,0.2445975988800415
fixed,cond,publisher_extremity,0.13273764130669208,0.04012457125298569,3.308138558535127,9.391833014270353e-4,0.05409492675572895,0.2113803558576552,5,3412,418,TRUE,0.7757917736331282,0.3141801925797842,0.42248889153947583
fixed,cond,rph_delta,-0.2183828599783062,0.022849443271693384,-9.557469623290377,1.206709099573812e-21,-0.2631669458576163,-0.1735987740989961,5,3412,418,TRUE,0.7757917736331282,0.27451556503328095,-0.7955208658271545
fixed,cond,toxicity,-0.1688690255263675,0.028592726641971395,-5.906013359302498,3.504855644212696e-9,-0.2249097399644303,-0.11282831108830471,5,3412,418,TRUE,0.7757917736331282,0.15750909729183382,-1.072122362643511
fixed,cond,reaction_score,0.9753390979980222,0.03347807763732789,29.13366497813853,1.345477963046237e-186,0.9097232715572238,1.0409549244388205,5,3412,418,TRUE,0.7757917736331282,0.15948056072303785,6.115724032923651
fixed,cond,log_total_reactions,-0.09395662227424634,0.025169641910309067,-3.7329344060220127,1.8926189477351668e-4,-0.14328821392222202,-0.04462503062627065,5,3412,418,TRUE,0.7757917736331282,1.6537292785935034,-0.056814995955176195
fixed,cond,log_author_links,-0.11447420266693911,0.035282848104227965,-3.2444717140967314,0.0011766870348288723,-0.18362731422322323,-0.04532109111065499,5,3412,418,TRUE,0.7757917736331282,1.303598624062236,-0.08781399470200264
fixed,cond,Economy,-0.006380864277688893,0.041915278494363585,-0.15223241994078454,0.8790036245350193,-0.08853330052860775,0.07577157197322998,5,3412,418,TRUE,0.7757917736331282,0.20885587399202793,-0.030551519359864648
fixed,cond,Education,0.10874239836439237,0.043544004494554575,2.4972989881532652,0.012514339243959121,0.023397717812415175,0.19408707891636956,5,3412,418,TRUE,0.7757917736331282,0.19047134586703404,0.5709121121048005
fixed,cond,Health,-0.06650169628235933,0.05175167932412312,-1.2850152333387326,0.1987869608403397,-0.1679331238971068,0.03492973133238812,5,3412,418,TRUE,0.7757917736331282,0.20823609152460693,-0.3193572055423492
fixed,cond,Security,0.032733229551188125,0.053486735095760685,0.6119878039402434,0.5405458267545793,-0.07209884488713732,0.13756530398951355,5,3412,418,TRUE,0.7757917736331282,0.2357776332919939,0.1388309361416413
fixed,cond,Culture,-0.0772125555964507,0.057700755326100264,-1.338155023449485,0.18084590718822974,-0.1903039579163649,0.0358788467234635,5,3412,418,TRUE,0.7757917736331282,0.2190178898173076,-0.3525399484985316
fixed,cond,Religion,-0.0031488266811481504,0.04311988591560349,-0.07302493070856447,0.9417862786340072,-0.0876622500932069,0.08136459673091061,5,3412,418,TRUE,0.7757917736331282,0.19350879991213168,-0.01627226608080856
fixed,cond,Disinformation,-0.13735629316035095,0.05037153758612679,-2.7268632196405553,0.00639395376908204,-0.23608269267506507,-0.03862989364563682,5,3412,418,TRUE,0.7757917736331282,0.28422496942924586,-0.4832661023279449
fixed,cond,Election,0.04035568517742566,0.05349096026984776,0.7544393477672094,0.45058545207314726,-0.06448467044993886,0.14519604080479018,5,3412,418,TRUE,0.7757917736331282,0.32281417861420025,0.12501212106192927
fixed,cond,Politics,0.08172414837929884,0.06042308382922915,1.3525319000644167,0.17620522103584452,-0.03670291976083481,0.2001512165194325,5,3412,418,TRUE,0.7757917736331282,0.30464190805785135,0.268262987519693
fixed,cond,Corruption,0.027097018164187612,0.05657272410754285,0.4789767258277521,0.6319551861340988,-0.08378348359391721,0.13797751992229243,5,3412,418,TRUE,0.7757917736331282,0.2424600253989632,0.1117587038094218
fixed,cond,(Intercept),1.4664745592489599,0.04861885822667079,30.16266964583915,7.31704058190464e-200,1.3711833481552262,1.5617657703426935,10,2727,204,TRUE,0.7792803201299768,NA,NA
fixed,cond,content_leaning,0.1382983813809231,0.042012849076513384,3.2918115391092724,9.95442945567454e-4,0.055954710303040014,0.2206420524588062,10,2727,204,TRUE,0.7792803201299768,0.4124014788559103,0.335348897789097
fixed,cond,content_extremity,0.05755790405353394,0.03868132547771504,1.4880023717567283,0.1367502681512458,-0.018256100757059114,0.133371908864127,10,2727,204,TRUE,0.7792803201299768,0.2297449883353168,0.2505295304615184
fixed,cond,publisher_leaning,0.12199679584462439,0.041826118072144425,2.9167611403524547,0.0035368651277339195,0.040019110810101455,0.20397448087914732,10,2727,204,TRUE,0.7792803201299768,0.5180923598485105,0.23547306484175154
fixed,cond,publisher_extremity,0.20095252721945348,0.051199920991327474,3.9248601038562527,8.67801548541196e-5,0.10060252606515535,0.3013025283737516,10,2727,204,TRUE,0.7792803201299768,0.3204626058241425,0.6270701278941995
fixed,cond,rph_delta,-0.21170478731946663,0.025364789999529007,-8.346404102829068,7.037273207707545e-17,-0.2614188621939652,-0.16199071244496804,10,2727,204,TRUE,0.7792803201299768,0.27139236082561163,-0.7800690729666544
fixed,cond,toxicity,-0.19175327842530152,0.028720507103093568,-6.676528298647179,2.446688397190408e-11,-0.24804443796509168,-0.13546211888551135,10,2727,204,TRUE,0.7792803201299768,0.15177869904985075,-1.263374107339801
fixed,cond,reaction_score,0.9472141834934475,0.0343857515358191,27.546705864687862,4.846325070648783e-167,0.8798193489018993,1.0146090180849958,10,2727,204,TRUE,0.7792803201299768,0.15755909985537547,6.011802456112669
fixed,cond,log_total_reactions,-0.06740150379063976,0.028872445359760423,-2.3344577485832687,0.01957176597416443,-0.12399045684137078,-0.010812550739908743,10,2727,204,TRUE,0.7792803201299768,1.6996716119760316,-0.03965560365644928
fixed,cond,log_author_links,-0.04504107108270926,0.04228453947182273,-1.0651900587145664,0.2867899314142337,-0.12791724555034412,0.037835103384925586,10,2727,204,TRUE,0.7792803201299768,1.1304654112534183,-0.03984294489184714
fixed,cond,Economy,-0.008757223782215521,0.043443219273871826,-0.20157861062295634,0.840246168209039,-0.0939043689314806,0.07638992136704956,10,2727,204,TRUE,0.7792803201299768,0.21006389274858203,-0.04168838189006013
fixed,cond,Education,0.10294008602752162,0.04495565834553378,2.2898137813112114,0.022032113921785466,0.014828614768987933,0.19105155728605533,10,2727,204,TRUE,0.7792803201299768,0.19256320613302808,0.5345781683568757
fixed,cond,Health,-0.09086113858999037,0.05343262100216036,-1.700480659302053,0.08904055132113203,-0.19558715135380314,0.0138648741738224,10,2727,204,TRUE,0.7792803201299768,0.20890905754993408,-0.43493154224905956
fixed,cond,Security,0.036905937385616844,0.05462170267745014,0.675664352749168,0.49925377346522887,-0.07015063263644045,0.14396250740767413,10,2727,204,TRUE,0.7792803201299768,0.23586874171122996,0.15646811492639473
fixed,cond,Culture,-0.06735398774894853,0.05925250926899329,-1.1367280235032127,0.25565200055963727,-0.18348677190980106,0.04877879641190401,10,2727,204,TRUE,0.7792803201299768,0.22002978297877315,-0.3061130490477571
fixed,cond,Religion,-0.0032342751765310116,0.04456913711972471,-0.07256759689654474,0.9421502126429118,-0.09058817875321866,0.08411962840015665,10,2727,204,TRUE,0.7792803201299768,0.1945233486081547,-0.016626668210642896
fixed,cond,Disinformation,-0.13988413664460284,0.05236074323211524,-2.671546047856813,0.007550271243927647,-0.24250930758329806,-0.037258965705907615,10,2727,204,TRUE,0.7792803201299768,0.286097827179495,-0.48893813009226694
fixed,cond,Election,0.057638031833579455,0.05584784777023574,1.032054665216621,0.3020465097271167,-0.05182173841015814,0.16709780207731706,10,2727,204,TRUE,0.7792803201299768,0.3257808985142336,0.17692268667820993
fixed,cond,Politics,0.05936274109273671,0.06328415844305209,0.9380347713109882,0.3482265411849697,-0.06467193024757173,0.18339741243304516,10,2727,204,TRUE,0.7792803201299768,0.30636333468557797,0.1937658145471649
fixed,cond,Corruption,0.036997021881706414,0.05852687195756256,0.6321373523692281,0.5272971294786641,-0.07771353928290342,0.15170758304631626,10,2727,204,TRUE,0.7792803201299768,0.24348341393384004,0.15194883825540306
fixed,cond,(Intercept),1.4413585684968682,0.05200546343009811,27.71552205152898,4.5390504172281534e-169,1.339429733174561,1.5432874038191753,15,2240,117,TRUE,0.8106730446071944,NA,NA
fixed,cond,content_leaning,0.13101561742015885,0.04133823164033352,3.1693570871649848,0.0015277656980406233,0.049994172220531055,0.21203706261978666,15,2240,117,TRUE,0.8106730446071944,0.4127525622763931,0.31741927099758704
fixed,cond,content_extremity,0.04196661500974624,0.0380356794581153,1.1033486349562827,0.2698757936244671,-0.032581946855669695,0.11651517687516216,15,2240,117,TRUE,0.8106730446071944,0.2270730549572384,0.18481547719366898
fixed,cond,publisher_leaning,0.14634316259993432,0.04628835777523523,3.1615544303934993,0.0015692948656677596,0.05561964845696871,0.23706667674289994,15,2240,117,TRUE,0.8106730446071944,0.5092477522939847,0.28737124894652766
fixed,cond,publisher_extremity,0.2925849430802897,0.06022133097945193,4.858493466046481,1.1828231156921996e-6,0.17455330325949772,0.4106165829010817,15,2240,117,TRUE,0.8106730446071944,0.3255680855508423,0.8986904922982637
fixed,cond,rph_delta,-0.2226639059495034,0.026906603832423822,-8.275437039035825,1.2798531163153962e-16,-0.2753998804073415,-0.16992793149166532,15,2240,117,TRUE,0.8106730446071944,0.2750248418680649,-0.8096137950197235
fixed,cond,toxicity,-0.17021019769650428,0.032222968734112685,-5.282263068340817,1.2759779731230796e-7,-0.23336605589032533,-0.10705433950268321,15,2240,117,TRUE,0.8106730446071944,0.14881434598110854,-1.1437754644845322
fixed,cond,reaction_score,0.9578319415275163,0.03418094694438527,28.022393384418933,8.670191187388689e-173,0.8908385165590468,1.0248253664959859,15,2240,117,TRUE,0.8106730446071944,0.156412144106565,6.123769653556675
fixed,cond,log_total_reactions,-0.05775279057767943,0.03251375911198069,-1.7762569495201386,0.07569057545837896,-0.12147858743917259,0.0059730062838137254,15,2240,117,TRUE,0.8106730446071944,1.7383126670638283,-0.03322347680709781
fixed,cond,log_author_links,0.04761499581128248,0.04721038210802569,1.0085704390684864,0.3131806902807035,-0.044915652816822,0.14014564443938696,15,2240,117,TRUE,0.8106730446071944,0.995929964415506,0.04780958251339179
fixed,cond,Economy,-0.033203845790414445,0.04357619324911209,-0.7619721530193785,0.44607662440963064,-0.11861161514203156,0.052203923561202674,15,2240,117,TRUE,0.8106730446071944,0.21137387108059372,-0.1570858574934946
fixed,cond,Education,0.12075784151298835,0.04534206227938118,2.6632631036701144,0.007738688001465068,0.031889032460629144,0.20962665056534757,15,2240,117,TRUE,0.8106730446071944,0.19516937157544526,0.6187335673533582
fixed,cond,Health,-0.07956025050112017,0.052311071590355314,-1.5209065324478812,0.12828329442779837,-0.18208806681091297,0.022967565808672624,15,2240,117,TRUE,0.8106730446071944,0.20769749700829676,-0.3830583018433873
fixed,cond,Security,0.0563645090414715,0.055546517853655414,1.0147262370248158,0.31023634375628895,-0.05250466541830419,0.16523368350124717,15,2240,117,TRUE,0.8106730446071944,0.2353306128321629,0.2395120140262861
fixed,cond,Culture,-0.10574019905073462,0.06047368956775416,-1.7485322924156013,0.08037189891293114,-0.22426645261578831,0.012786054514319092,15,2240,117,TRUE,0.8106730446071944,0.2185727673194115,-0.48377572534556
fixed,cond,Religion,-9.06060569716916e-4,0.04450321554479798,-0.020359440517390345,0.983756638916328,-0.08813076023374403,0.0863186390943102,15,2240,117,TRUE,0.8106730446071944,0.19704602230373874,-0.004598218015892039
fixed,cond,Disinformation,-0.12672507272372696,0.05294405041921944,-2.393565881724152,0.016685484454597773,-0.23049350474106978,-0.022956640706384132,15,2240,117,TRUE,0.8106730446071944,0.28679252331943533,-0.44187021076061317
fixed,cond,Election,0.07702612829236002,0.057180682409102616,1.3470655656270762,0.1779591170930755,-0.03504594984090409,0.18909820642562414,15,2240,117,TRUE,0.8106730446071944,0.32818865046428297,0.23470076793756411
fixed,cond,Politics,0.01978248691493417,0.06589697785556797,0.30020324996228404,0.7640221262314519,-0.1093732163720125,0.14893819020188084,15,2240,117,TRUE,0.8106730446071944,0.3064384937030238,0.06455614200383653
fixed,cond,Corruption,0.05238560452556795,0.05858804847989169,0.8941346551856474,0.3712498492655653,-0.06244486041950641,0.16721606947064233,15,2240,117,TRUE,0.8106730446071944,0.24427198437856668,0.21445604848561772
