effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
fixed,cond,publisher_leaning,-0.12737880911251168,0.027845766100737038,-4.574440819896858,4.774935480375088e-6,-0.18195550779188258,-0.07280211043314076,D1
fixed,cond,publisher_extremity,-0.07837427604663114,0.026068350024152604,-3.006491625822752,0.002642813329099451,-0.12946730323035407,-0.027281248862908197,D1
fixed,cond,rph_delta,0.14734863974427914,0.017692053321346844,8.32852112007211,8.185846881028599e-17,0.11267285242187709,0.1820244270666812,D1
fixed,cond,toxicity,0.11396180916634988,0.01950898622940296,5.841503388556007,5.173182629806884e-9,0.07572489878183221,0.15219871955086756,D1
fixed,cond,log_total_reactions,0.09810593080372562,0.019871493457161184,4.9370184991491275,7.932594908520238e-7,0.059158519308666384,0.13705334229878485,D1
fixed,cond,log_author_links,0.043077716455551224,0.02620796115081634,1.6436881986987155,0.10024062488419434,-0.008288943508273701,0.09444437641937614,D1
fixed,cond,Economy,-0.11124578848779754,0.06105158004712958,-1.8221606779369162,0.06843060908509807,-0.23090468657943566,0.00841310960384059,D1
fixed,cond,Education,-0.09944042211616705,0.06335298756945332,-1.5696248264085635,0.11650241926682979,-0.22360999606530926,0.024729151832975166,D1
fixed,cond,Health,0.12669857053294808,0.0766802918643043,1.652296404363687,0.09847414194875673,-0.023592039845108048,0.2769891809110042,D1
fixed,cond,Security,-0.02789058343982428,0.07992408128304124,-0.3489634537187013,0.7271167466079516,-0.1845389042520369,0.12875773737238833,D1
fixed,cond,Culture,0.021899916711120123,0.08650462280620536,0.2531646980321744,0.8001409449555685,-0.1476460284852645,0.19144586190750476,D1
fixed,cond,Religion,0.05525348700024107,0.06606574554859404,0.8363409288948368,0.4029631339533305,-0.07423299488679061,0.18473996888727276,D1
fixed,cond,Disinformation,0.22988512370616898,0.07198728333039738,3.1934129622738188,0.0014060171597910737,0.08879264103370957,0.3709776063786284,D1
fixed,cond,Election,-0.15278982334310004,0.07638108074237748,-2.000362155890912,0.045461171763210906,-0.30249399069840577,-0.0030856559877943113,D1
fixed,cond,Politics,0.018055344323352276,0.08660555003649006,0.20847791297145396,0.8348558266556376,-0.15168841460944976,0.18779910325615434,D1
fixed,cond,Corruption,-0.08476153529362697,0.08102669159326797,-1.0460939923242443,0.29551763867532815,-0.24357093260286655,0.0740478620156126,D1
fixed,cond,(Intercept),-2.4685175819424905,0.03619835011068065,-68.19420151456384,0,-2.539465044459196,-2.397570119425785,D2
fixed,cond,content_leaning,-0.14535898267626676,0.037801734110182596,-3.845299325490775,1.2040536867816852e-4,-0.21944902008538392,-0.07126894526714962,D2
fixed,cond,content_extremity,-0.08773854083873094,0.03428729341583347,-2.5589229156890614,0.010499702040212998,-0.15494040106112184,-0.020536680616340022,D2
fixed,cond,publisher_leaning,-0.1182400797985676,0.026490595003076173,-4.463473915358911,8.06414195548739e-6,-0.17016069193363362,-0.06631946766350158,D2
fixed,cond,publisher_extremity,-0.0792892310907265,0.025496542020382578,-3.109803322636485,0.0018721195520541704,-0.12926153518098843,-0.02931692700046455,D2
fixed,cond,rph_delta,0.14171620996657952,0.01708290190802073,8.29579252574419,1.0786364777407747e-16,0.10823433747542832,0.17519808245773072,D2
fixed,cond,toxicity,0.1354748736926877,0.020627760076997233,6.567599835706868,5.113272926887968e-11,0.09504520686003998,0.17590454052533544,D2
fixed,cond,log_total_reactions,0.08516538839459341,0.019604920390395523,4.344082337427703,1.3985905578079917e-5,0.046740450509643254,0.12359032627954356,D2
fixed,cond,log_author_links,0.05266405660729647,0.02561769985467603,2.0557683518055443,0.03980484994333044,0.0024542875253744864,0.10287382568921846,D2
fixed,cond,Economy,-0.0324197097081685,0.039094937358485696,-0.8292559573863005,0.4069595870212444,-0.10904437890864992,0.044204959492312915,D2
fixed,cond,Education,-0.0702998862254884,0.03919277735123138,-1.7936949350510796,0.07286187418770797,-0.14711631828799904,0.006516545837022228,D2
fixed,cond,Health,0.09832552115890499,0.0466109358691239,2.109494678137067,0.034901904901634855,0.006969765569715999,0.18968127674809399,D2
fixed,cond,Security,-0.055201758437421304,0.04860987617830215,-1.1356078800723537,0.25612070945079907,-0.15047536503984502,0.0400718481650024,D2
fixed,cond,Culture,0.05008981934733908,0.05321019742643,0.9413575173554797,0.3465216765159192,-0.05420025121872957,0.15437988991340773,D2
fixed,cond,Religion,0.017971312386308468,0.03942022466288508,0.4558906637391342,0.6484686035263861,-0.059290908215423856,0.0952335329880408,D2
fixed,cond,Disinformation,0.12568195342912558,0.04557491676678292,2.7577001198327658,0.0058209571084621116,0.036356757967820424,0.21500714889043074,D2
fixed,cond,Election,-0.027838909401041192,0.04792322001573523,-0.5809064873332905,0.5613034798554386,-0.12176669465507127,0.06608887585298888,D2
fixed,cond,Politics,-0.07409762748812684,0.054153132848095614,-1.368298076049955,0.17121879277852786,-0.18023581752040718,0.032040562544153495,D2
fixed,cond,Corruption,-0.030556365912102694,0.0507068456633566,-0.6026082970131252,0.5467692994855384,-0.12993995718191262,0.06882722535770724,D2
fixed,cond,reaction_score,-0.7570146065607546,0.02878757364051203,-26.296575599390806,2.0987018986673864e-152,-0.8134372140984527,-0.7005919990230565,D2
fixed,cond,(Intercept),-2.712732347791561,0.057714245038796706,-47.00282133064387,0,-2.8258501894625216,-2.5996145061206,D3
fixed,cond,content_leaning,-0.3704115176728579,0.06404746455208936,-5.783390806541683,7.320971524920274e-9,-0.4959422414960588,-0.244880793849657,D3
fixed,cond,content_extremity,-0.26281381691924127,0.06068420356381651,-4.3308439673738475,1.4853891431264244e-5,-0.3817526703348188,-0.14387496350366374,D3
fixed,cond,publisher_leaning,-0.18059918293066043,0.03144623537914622,-5.743109811180323,9.295340312508378e-9,-0.24223267172315627,-0.1189656941381646,D3
fixed,cond,publisher_extremity,-0.11459068357347438,0.029722444888717288,-3.85535860197602,1.1556010875195724e-4,-0.17284560508783686,-0.056335762059111893,D3
fixed,cond,rph_delta,0.1902421202322925,0.018144720645885033,10.484709241056116,1.015575540145098e-25,0.1546791212568175,0.22580511920776752,D3
fixed,cond,toxicity,0.14574923855331692,0.020742047940044264,7.0267525643856885,2.113957576468513e-12,0.10509557162522695,0.1864029054814069,D3
fixed,cond,log_total_reactions,0.03594029858716171,0.021694008315808765,1.6566923946909087,0.09758168140643544,-0.006579176392135892,0.0784597735664593,D3
fixed,cond,log_author_links,0.04697354177010141,0.030957304671989826,1.5173653607060653,0.1291744644851123,-0.013701660445432189,0.10764874398563501,D3
fixed,cond,Economy,-0.10466210364064989,0.06847318667682568,-1.5285122355211214,0.1263854080052901,-0.23886708343391605,0.02954287615261629,D3
fixed,cond,Education,-0.08638888076526101,0.07097583312124764,-1.2171590943875692,0.22354369034493582,-0.22549895745563142,0.05272119592510942,D3
fixed,cond,Health,0.12107033688406456,0.08517748777162,1.4213889145061587,0.15520372740093674,-0.045874471441911466,0.28801514521004057,D3
fixed,cond,Security,-0.0643154341030401,0.08850722968785212,-0.7266687063855484,0.4674289280607569,-0.23778641666264444,0.10915554845656426,D3
fixed,cond,Culture,0.03373947635268236,0.09555198277067495,0.35310074552463455,0.7240129139933102,-0.15353896852923227,0.22101792123459696,D3
fixed,cond,Religion,0.05905447159229108,0.07282818019241999,0.8108739149634486,0.41743808157884454,-0.08368613864444541,0.20179508182902756,D3
fixed,cond,Disinformation,0.2530973393298504,0.07975473763429362,3.1734458270103,0.0015064101097717257,0.09678092597019369,0.4094137526895071,D3
fixed,cond,Election,-0.14904162835672757,0.08562012275776715,-1.7407313089049157,0.08173068753864947,-0.3168539853138494,0.01877072860039425,D3
fixed,cond,Politics,-0.01373450041234117,0.09708718390266384,-0.14146563799925324,0.887502103913705,-0.20402188422197914,0.1765528833972968,D3
fixed,cond,Corruption,-0.06733740323900778,0.08972767409336115,-0.7504641563420398,0.4529752037182422,-0.24320041287854322,0.10852560640052766,D3
